	00A1	00A7	00B6	00B7	00BF	2016	2020	2021	2022	2024	2025	2026	2027	2030	2032	2033	2035	203B	203C	203E	2047	2048	2049	3001	3002	3003	303D	30FB	FE45	FE46	FE49	FE4A	FE4B	FE4C	FF01	FF02	FF03	FF05	FF06	FF07	FF0A	FF0C	FF0E	FF0F	FF1A	FF1B	FF1F	FF20	FF3C	16FE2
graph	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Grapheme_Base	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Hyphen																												Yes																						
ID_Continue				Yes																																														
Identifier_Status				Allowed									Allowed															Allowed																						
Identifier_Type	Not_XID	Not_XID	Not_XID	Inclusion	Not_XID	Not_XID	Not_XID	Not_XID	Not_XID	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Inclusion	Not_XID	Not_XID	Not_XID|Not_NFKC	Not_XID	Not_XID	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID	Not_XID	Not_XID	Not_XID	Inclusion	Technical|Not_XID	Technical|Not_XID	Technical|Not_XID|Not_NFKC	Technical|Not_XID|Not_NFKC	Technical|Not_XID|Not_NFKC	Technical|Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID
Idn_2008	NV8	NV8	NV8		NV8	NV8	NV8	NV8	NV8				NV8	NV8	NV8		NV8	NV8						NV8		NV8	NV8		NV8	NV8																				NV8
Idn_Mapping																′′			!!,̅	??	?!	!?		.					,̅,̅,̅,̅	!	""""	#	%	&	'	*	"	"	.	/	:	;	?	@	\	
Idn_Status	valid	valid	valid	valid	valid	valid	valid	valid	valid				valid	valid	valid	mapped	valid	valid	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	valid	mapped	valid	valid	valid	valid	valid	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	disallowed_STD3_mapped	valid
idna2003	valid	valid	valid	valid	valid	valid	valid	valid	valid				valid	valid	valid	mapped	valid	valid						valid	mapped	valid	valid	valid	valid	valid													mapped							
idna2008	DISALLOWED	DISALLOWED	DISALLOWED	CONTEXTO	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	CONTEXTO	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED	DISALLOWED
idna2008c				valid																								valid																						
isNFKC										No	No	No				No			No	No	No	No	No								No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
isNFKD										No	No	No				No			No	No	No	No	No								No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
isNFM																																			No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
ISO_Comment	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Line_Break	Open_Punctuation	Ambiguous	Ambiguous	Ambiguous	Open_Punctuation	Ambiguous	Ambiguous	Ambiguous	Alphabetic	Inseparable	Inseparable	Inseparable	Break_After	Postfix_Numeric	Postfix_Numeric	Postfix_Numeric	Postfix_Numeric	Ambiguous	Nonstarter	Alphabetic	Nonstarter	Nonstarter	Nonstarter	Close_Punctuation	Close_Punctuation	Ideographic	Ideographic	Nonstarter	Ideographic	Ideographic	Ideographic	Ideographic	Ideographic	Ideographic	Exclamation	Ideographic	Ideographic	Postfix_Numeric	Ideographic	Ideographic	Ideographic	Close_Punctuation	Close_Punctuation	Ideographic	Nonstarter	Nonstarter	Exclamation	Ideographic	Ideographic	Nonstarter
Math						Yes									Yes	Yes																																	Yes	
NFKC_Casefold										.	..	...				′′			!!,̅	??	?!	!?							,̅,̅,̅,̅	!	""""	#	%	&	'	*	"	"	.	/	:	;	?	@	\	
NFKC_Inert										No	No	No				No			No	No	No	No	No								No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
NFKC_Quick_Check										No	No	No				No			No	No	No	No	No								No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
NFKD_Inert										No	No	No				No			No	No	No	No	No								No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
NFKD_Quick_Check										No	No	No				No			No	No	No	No	No								No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
Pattern_Syntax	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes			Yes	Yes																				
